ticker,company,issuer,spot,predicted,date_posted
2319,蒙牛乳業 (02319),摩根大通,,18,31/8/2017 11:52
2319,蒙牛乳業 (02319),德銀,,18.2,31/8/2017 11:05
3606,福耀玻璃 (03606),德銀,25,27,31/8/2016 15:43
493,國美電器 (00493),德銀,0.82,0.88,31/8/2016 15:42
2388,中銀香港 (02388),花旗,30,31.5,31/8/2016 15:41
604,深圳控股 (00604),花旗,,5.2,31/8/2016 15:41
3900,綠城中國 (03900),瑞信,,6.7,31/8/2016 15:40
3900,綠城中國 (03900),花旗,9.23,8.68,31/8/2016 15:39
2388,中銀香港 (02388),麥格里,,28.8,31/8/2015 14:02
656,復星國際 (00656),瑞銀,,19.5,31/8/2015 14:01
2333,長城汽車 (02333),德银,,27.3,31/8/2015 13:54
489,東風集團股份 (00489),瑞信,,14.8,31/8/2015 13:53
2238,廣汽集團 (02238),野村,7.43,6.38,31/8/2015 13:52
1800,中國交通建設 (01800),德銀,,15.58,31/8/2015 13:52
1766,中國中車 (01766),滙豐,15,11.3,31/8/2015 13:51
1766,中國中車 (01766),麥格理,,15.3,31/8/2015 13:50
2388,中銀香港 (02388),匯豐證券,,30.5,31/8/2015 12:44
3988,中國銀行 (03988),大和證券,,5.2,31/8/2015 12:39
489,東風汽車 (00489),花旗,13.9,13,31/8/2015 12:37
589,寶姿 (00589),花旗,8.5,7,31/8/2012 15:28
144,招商局國際 (00144),高盛,,26.9,31/8/2012 15:27
3328,交通銀行 (03328),德銀,,5.58,31/8/2012 15:25
3328,交通銀行 (03328),摩根大通,,6.75,31/8/2012 13:32
670,東方航空 (00670),摩根大通,,3,31/8/2012 12:07
656,復星國際 (00656),美銀美林,4.2,4,31/8/2012 11:43
506,中國食品 (00506),德銀,7.12,8.4,31/8/2012 11:42
1398,工商銀行 (01398),里昂,4.8,4.68,31/8/2012 11:02
2009,金隅股份 (02009),摩通,13.5,10.5,31/8/2011 09:58
3333,恆大地產 (03333),花旗,6.33,7.5,31/8/2011 15:30
1919,中國遠洋 (01919),高盛,4.75,4.3,31/8/2011 15:12
493,國美電器 (00493),法巴,3.77,4.3,31/8/2011 15:06
363,上實控股 (00363),美銀美林,32,27.9,31/8/2011 14:41
200,新濠國際發展 (00200),花旗,,11.6,31/8/2011 14:41
144,招商局國際 (00144),星展唯高達,,31,31/8/2011 14:38
552,中國通信服務 (00552),工銀國際,,4.8,31/8/2011 14:36
6808,高鑫零售 (06808),花旗,,10.4,31/8/2011 14:32
